trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-75.60125620034394,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-138.8750064668986,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-131.74156112726408,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-145.87499989763077,"{0: 23, 1: 4, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-126.88125601230541,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-151.47805377251413,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-180.41342512016578,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,1,-97.3061625116002,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-128.5669551787652,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-123.01950513039719,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-169.69472679628112,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,12,-29.612620871118377,"{0: 6, 1: 0, 2: 0, 3: 2, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,5,-6.059497606370384,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,8,2.4267000403068595,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-54.69348673348749,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,15,8.198528912079643,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-60.93069961778636,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,0,-64.28360013342076,"{0: 30, 1: 0, 2: 1, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-17.47453380787963,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,6,1.2934496282428718,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-108.40523236287139,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-22.94508265230474,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,0,-80.88699214723877,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",35,8,-31.705958520657486,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",30,0,-28.119904604157743,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-43.23632379928003,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,9,17.88970744071468,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,20.777956269512874,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-64.18552953418421,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",30,0,-127.56825513090196,"{0: 23, 1: 0, 2: 2, 3: 3, 4: 2}",0
