trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0119926306926773, 'e': 0.9880790022635794}",20,0,-159.79359501526247,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.0119926306926773, 'e': 0.9763001147141905}",25,0,-102.60161882040373,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.0119926306926773, 'e': 0.9646616432566155}",20,0,-77.99841115205925,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.0119926306926773, 'e': 0.9531619139909416}",20,1,-29.497141284103936,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
5,False,"{'a': 0.0119926306926773, 'e': 0.9417992729718133}",20,0,-120.19704388566618,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.0119926306926773, 'e': 0.9305720859705537}",20,12,-31.824270910666847,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.0119926306926773, 'e': 0.9194787382401225}",20,0,-86.06390224603216,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.0119926306926773, 'e': 0.9085176342828751}",20,9,-30.003687237343193,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.0119926306926773, 'e': 0.8976871976210908}",25,0,-126.63983390294922,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
10,False,"{'a': 0.0119926306926773, 'e': 0.886985870570236}",25,12,-112.15078094063188,"{0: 5, 1: 0, 2: 6, 3: 1, 4: 1}",1
11,False,"{'a': 0.0119926306926773, 'e': 0.8764121140149311}",20,15,5.969633431966905,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.0119926306926773, 'e': 0.8659644071875876}",25,0,-86.94728810035664,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.0119926306926773, 'e': 0.8556412474496836}",25,0,-38.556985346741044,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.0119926306926773, 'e': 0.8454411500756478}",20,0,-101.24156084912748,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.0119926306926773, 'e': 0.8353626480393191}",25,0,-150.77554281325448,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.0119926306926773, 'e': 0.8254042918029522}",25,0,-108.92920357120423,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.0119926306926773, 'e': 0.8155646491087373}",25,0,-92.99646545345449,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.0119926306926773, 'e': 0.8058423047728074}",20,1,12.381295255900508,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.0119926306926773, 'e': 0.7962358604816987}",25,0,-161.79741253214587,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.0119926306926773, 'e': 0.7867439345912395}",25,0,-24.802644274427337,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
21,False,"{'a': 0.0119926306926773, 'e': 0.7773651619278347}",20,0,-17.77202454575288,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
