trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.00299815767, 'e': 0.9970063343270387}",20,0,-97.31649585929104,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.00299815767, 'e': 0.9940216306882389}",25,7,-102.9145727453792,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 1}",1
3,False,"{'a': 0.00299815767, 'e': 0.9910458622542665}",25,18,-10.87218245211204,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.00299815767, 'e': 0.9880790022761056}",20,0,-27.909538042130492,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.00299815767, 'e': 0.9851210240848177}",20,0,-117.30919949090679,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.00299815767, 'e': 0.9821719010913026}",20,0,-117.7298719145757,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
7,False,"{'a': 0.00299815767, 'e': 0.9792316067860584}",30,1,-123.77014158683143,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 2}",1
8,False,"{'a': 0.00299815767, 'e': 0.9763001147389442}",25,0,-148.493643967847,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.00299815767, 'e': 0.9733773985989421}",20,8,-31.706129596020773,"{0: 7, 1: 3, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.00299815767, 'e': 0.97046343209392}",25,0,-21.129033587174057,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.00299815767, 'e': 0.9675581890303963}",20,0,-147.765997494933,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.00299815767, 'e': 0.9646616432933034}",25,0,-100.70349502037286,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.00299815767, 'e': 0.9617737688457538}",30,0,-116.33183668055835,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.00299815767, 'e': 0.9588945397288057}",25,0,-266.70828922671024,"{0: 10, 1: 3, 2: 6, 3: 2, 4: 4}",0
15,False,"{'a': 0.00299815767, 'e': 0.9560239300612295}",20,0,-67.62859524597759,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.00299815767, 'e': 0.9531619140392756}",20,0,-62.29981203730081,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.00299815767, 'e': 0.9503084659364421}",20,0,-154.71184357720654,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.00299815767, 'e': 0.9474635601032437}",20,0,-74.5776441086114,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.00299815767, 'e': 0.944627170966981}",25,0,-98.57903362519615,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.00299815767, 'e': 0.9417992730315106}",20,0,-121.13615668184609,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
21,False,"{'a': 0.00299815767, 'e': 0.9389798408770162}",25,0,-228.56196510016395,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
22,False,"{'a': 0.00299815767, 'e': 0.93616884915978}",20,0,-92.64876230336974,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.00299815767, 'e': 0.9333662726119547}",20,5,-63.02570956475716,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
24,False,"{'a': 0.00299815767, 'e': 0.9305720860413365}",25,1,-95.51219011581443,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 1}",1
25,False,"{'a': 0.00299815767, 'e': 0.9277862643311385}",20,0,-95.42826470288858,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.00299815767, 'e': 0.9250087824397655}",20,10,-36.45445616419473,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
27,False,"{'a': 0.00299815767, 'e': 0.9222396154005879}",25,0,-83.56582520749612,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.00299815767, 'e': 0.919478738321718}",20,0,-53.26023146561124,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
29,False,"{'a': 0.00299815767, 'e': 0.9167261263857865}",25,0,-81.51552271248165,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.00299815767, 'e': 0.9139817548497187}",25,0,-80.33836234759491,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
31,False,"{'a': 0.00299815767, 'e': 0.9112455990445121}",20,0,-37.700697545659686,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
