trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,0,-137.07319362473373,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,-111.62089840890366,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,0,-39.893244936940434,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,0,-179.59196665984945,"{0: 7, 1: 2, 2: 8, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,0,-80.35960137612356,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.049787068367863944}",20,0,-31.723816792613935,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.0301973834223185}",30,0,-136.99161369695773,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.01831563888873418}",30,0,-164.584247698152,"{0: 21, 1: 2, 2: 2, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.011108996538242306}",25,0,-171.80918430785366,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.006737946999085467}",25,0,-126.36517379980741,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.004086771438464067}",25,0,-139.902307457719,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.0024787521766663585}",20,0,-106.60125565931513,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.0015034391929775724}",20,0,-96.31763570885956,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.0009118819655545162}",20,0,-105.69190225270573,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.0005530843701478336}",20,0,-69.123759143685,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.00033546262790251185}",25,0,-177.33223427067952,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.00020346836901064417}",20,1,-84.18539888815017,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.00012340980408667956}",25,0,-44.35257847979266,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",20,0,-43.62018545439232,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 4.5399929762484854e-05}",20,0,-109.93288592702186,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-104.4487167956604,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-37.599537444191164,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-113.95626911995377,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-192.87401496385132,"{0: 14, 1: 5, 2: 2, 3: 0, 4: 4}",0
5,True,"{'a': 0, 'e': 0}",30,0,-106.5170868956194,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-114.10121346643231,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-133.04060288410338,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",30,0,-281.3990316263463,"{0: 14, 1: 3, 2: 6, 3: 3, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",20,0,-84.51456307455065,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,-195.98206546903057,"{0: 17, 1: 2, 2: 6, 3: 3, 4: 2}",0
